STATE,COUNTY,TRACT,BLKGRP,geometry,NAME,B02001_001E,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B02001_006E,B25044_001E,Tot Pop,% White alone,% Black or African American alone,% American Indian and Alaska Native alone,% Asian alone alone,% Native Hawaiian and Other Pacific Islander alone,cars per capita
39,129,021402,1,"POLYGON ((-83.16943100012305 39.80292700020556, -83.1696670001246 39.80250200006883, -83.16292699983667 39.80414399968043, -83.15934699963042 39.80437400016599, -83.15533700015217 39.80321399974411, -83.14971800032076 39.80278900000102, -83.14003700023424 39.80208400015539, -83.12737699981601 39.79552399985341, -83.12420300038895 39.79269100028938, -83.13523199981439 39.79046400027708, -83.13200999980842 39.78924199999603, -83.14150699977192 39.7852639998848, -83.14133100004481 39.78398400033069, -83.14236499956439 39.78292200009528, -83.14432799991989 39.78272000031431, -83.14480499994585 39.78179599970255, -83.14396700024487 39.78071000004962, -83.1445539998757 39.77921800032995, -83.1451930002834 39.77333699996262, -83.14361800026541 39.77124599974168, -83.14521199965164 39.76982300005608, -83.14794300028625 39.76604000007229, -83.14908200028613 39.76368799981841, -83.15048400005173 39.76289299987278, -83.15298100033461 39.75920400008507, -83.15529600014428 39.75660800014695, -83.15539499987848 39.75498000000954, -83.15423800033527 39.75332399989973, -83.15263400000498 39.75216399992319, -83.15094799965891 39.75206600001388, -83.14763500031468 39.75309400001618, -83.14365900027329 39.75184900006385, -83.14144099964969 39.75000700002269, -83.13950599978159 39.74968700024198, -83.13770800018087 39.75090099993313, -83.13259899998738 39.7493449997914, -83.13100800007588 39.74840399976183, -83.12840000036326 39.74587200023705, -83.12792199961405 39.74308599999905, -83.12883300000829 39.74053199991271, -83.12903200019993 39.73860499985148, -83.1300439999782 39.73550799988109, -83.13191000024932 39.73353399984796, -83.13442900027349 39.73234300032384, -83.12228500023929 39.73256800011733, -83.10398000005038 39.73297300010552, -83.10436699966468 39.73778400006989, -83.10436699966468 39.74529400033597, -83.08010700008369 39.74429399968445, -83.07909699995525 39.76296399975827, -83.07246700017048 39.76271400034237, -83.06946299972439 39.76382200023075, -83.06867000022925 39.7641309999506, -83.05862699974449 39.76798000032323, -83.05848199997953 39.7723150003143, -83.05833700021458 39.77603399982556, -83.05806900042597 39.77681700019139, -83.05601700038203 39.77744400023031, -83.05632700000341 39.77940400008042, -83.05678700031096 39.78255199968255, -83.05693200007592 39.78352699973978, -83.05799699955763 39.79075399990087, -83.04725699983719 39.7915940002903, -83.03943299980094 39.79259400023132, -83.02777199964052 39.7937640002954, -83.02897500011281 39.79921599974347, -83.0301929997554 39.80519199987147, -83.03763400037531 39.80556699978774, -83.04445800032883 39.80528200034156, -83.06046999955107 39.8056850000432, -83.06145600028837 39.80580999980627, -83.07468599972069 39.80613799992052, -83.12035500039408 39.80782300007513, -83.14787799998892 39.80841399990021, -83.15172799963359 39.8085269998148, -83.15325699962081 39.80846499997627, -83.15777900018345 39.80527299995479, -83.15935699967616 39.80494999971013, -83.16143300000955 39.80521499981111, -83.16676499978578 39.80447400010711, -83.16943100012305 39.80292700020556))","Block Group 1, Census Tract 214.02, Pickaway County, Ohio",4745,4449,38,71,131,0,1574,4745,0.937618545837724,0.008008429926238146,0.014963119072708114,0.027608008429926237,0.0,0.33171759747102214
39,049,008120,1,"POLYGON ((-83.12926300017861 39.95222900026408, -83.12906399998698 39.94819500016335, -83.12696199971433 39.9482129999612, -83.12453999977451 39.94650500003655, -83.12619699980824 39.94087099995355, -83.12622699994549 39.94077699997599, -83.12239200036942 39.94011000003126, -83.12237999977555 39.94015499966929, -83.12129600002724 39.94395500023631, -83.12033299975445 39.94744799990002, -83.1192659997246 39.95270500006794, -83.12369299985269 39.95249399996612, -83.12926300017861 39.95222900026408))","Block Group 1, Census Tract 81.20, Franklin County, Ohio",1558,1109,217,0,59,0,614,1558,0.7118100128369704,0.1392811296534018,0.0,0.037869062901155326,0.0,0.3940949935815148
39,049,006371,2,"POLYGON ((-83.11304699984358 40.08779199983906, -83.11347199999102 40.08655400026391, -83.11259300028213 40.08396500024029, -83.11152200005432 40.08156700015468, -83.10979899989833 40.07393099986, -83.1088730003338 40.07129600026551, -83.10739399967696 40.06815800009436, -83.10525200011965 40.06823300010029, -83.10510300015673 40.0682289997629, -83.10726200033079 40.07292299999002, -83.0999179997953 40.07257799979921, -83.09982300025905 40.07880700033319, -83.0990370004366 40.07876899992546, -83.09898100036007 40.08205300025895, -83.10109000030543 40.08299599992172, -83.10112000044268 40.08550800022368, -83.10363600009381 40.08550500021623, -83.10586600041299 40.08420499966281, -83.10992000027217 40.08549000017696, -83.11006500003711 40.08550400021369, -83.10986800039362 40.08667000004316, -83.10967800042283 40.08779399977687, -83.1082900000026 40.09271599991976, -83.10826099969027 40.0928180002894, -83.10811000007755 40.09432099985712, -83.10928099986448 40.09911700032442, -83.10921800011528 40.09994500013017, -83.11110399957957 40.09963199974911, -83.11038499970427 40.09722899995108, -83.11010400039518 40.09357599968869, -83.11023499991643 40.09060400003752, -83.11304699984358 40.08779199983906))","Block Group 2, Census Tract 63.71, Franklin County, Ohio",2814,2283,34,0,288,0,982,2814,0.8113006396588486,0.012082444918265814,0.0,0.1023454157782516,0.0,0.34896943852167733
39,049,008312,3,"POLYGON ((-83.10470099957551 39.93510600032406, -83.10482699997222 39.93455999985785, -83.10458799959761 39.93427700023994, -83.10399799959373 39.93395699978804, -83.10367399972864 39.93337399981998, -83.10386700007248 39.93175700026546, -83.10373200035328 39.93145400030891, -83.10308200007493 39.93112200010096, -83.1029940002114 39.93087199988992, -83.10309799996845 39.9302439998951, -83.10248500039836 39.93011600006682, -83.10011299978896 39.92964099968829, -83.09939200026382 39.92936399968627, -83.09771199976555 39.92883200008511, -83.09664100043605 39.93251199969419, -83.09831099999026 39.93284900023436, -83.0979040002845 39.93523300032404, -83.10134899987322 39.93624300004248, -83.10384600015608 39.93661699974376, -83.10470099957551 39.93510600032406))","Block Group 3, Census Tract 83.12, Franklin County, Ohio",776,728,0,0,18,0,327,776,0.9381443298969072,0.0,0.0,0.023195876288659795,0.0,0.4213917525773196
39,049,009752,2,"POLYGON ((-83.12170600010606 39.86727200023454, -83.12147900032535 39.86000600026995, -83.11964900003925 39.85120600003872, -83.10764499974714 39.86573600027996, -83.10682100028986 39.86672699999779, -83.1049249998815 39.86897299984543, -83.10256200039126 39.87176500002116, -83.1049039999651 39.8718390003403, -83.09887500005489 39.87918399965907, -83.09662299999438 39.88193099990544, -83.10168299978405 39.88205099973634, -83.10231899981869 39.88206800015497, -83.1075569998836 39.88220099991897, -83.10697899957528 39.89280500005017, -83.10675799964234 39.89670699975419, -83.10741999961624 39.89824800005011, -83.11002400002924 39.89618100019323, -83.11082900011827 39.89580600012189, -83.1185390003517 39.89327000028921, -83.11966800030582 39.89289999979955, -83.11973400042807 39.8912120000175, -83.11976600021512 39.89045800023676, -83.12023599967009 39.88363199995661, -83.12031400038622 39.88252799974497, -83.12089699981908 39.87515499987144, -83.12170600010606 39.86727200023454))","Block Group 2, Census Tract 97.52, Franklin County, Ohio",3156,2777,102,0,63,0,1158,3156,0.8799112801013942,0.03231939163498099,0.0,0.019961977186311788,0.0,0.3669201520912547
39,049,008312,2,"POLYGON ((-83.09652699973492 39.93765800019652, -83.0979040002845 39.93523300032404, -83.09583899982175 39.93482399966587, -83.09539000028319 39.93473499969563, -83.0953359998565 39.93492099998917, -83.09506700024299 39.93919000010286, -83.09643899987138 39.93923499965714, -83.09652699973492 39.93765800019652))","Block Group 2, Census Tract 83.12, Franklin County, Ohio",968,131,710,0,0,0,351,968,0.1353305785123967,0.7334710743801653,0.0,0.0,0.0,0.36260330578512395
39,049,009752,1,"POLYGON ((-83.11943200030427 39.89867499978007, -83.11966800030582 39.89289999979955, -83.1185390003517 39.89327000028921, -83.11082900011827 39.89580600012189, -83.11002400002924 39.89618100019323, -83.10741999961624 39.89824800005011, -83.10532800028763 39.89990499986922, -83.10408899983034 39.90196199967414, -83.10190000041734 39.9020369997311, -83.09984900019832 39.90356499982371, -83.0986509997489 39.90427799997289, -83.0934000001635 39.90709500011604, -83.0941249998866 39.90723199968875, -83.09935100025595 39.9082549998182, -83.10269299991251 39.9093610001584, -83.10602100022368 39.91100300013301, -83.10714000013208 39.91175500029386, -83.10807999994033 39.91252299975081, -83.10898799996153 39.91326299974105, -83.1116829997128 39.91229599974643, -83.11278900010072 39.91191200016627, -83.11548100037726 39.91125500015004, -83.11910599989103 39.9104170002494, -83.1191669999904 39.9057189996752, -83.1193789997025 39.899608000066, -83.11943200030427 39.89867499978007))","Block Group 1, Census Tract 97.52, Franklin County, Ohio",3916,3117,366,0,282,0,1395,3916,0.7959652706843718,0.09346271705822268,0.0,0.07201225740551584,0.0,0.35623084780388153
39,049,006371,3,"POLYGON ((-83.1082900000026 40.09271599991976, -83.10967800042283 40.08779399977687, -83.10423500031851 40.08798900030249, -83.10239300033685 40.08919700007903, -83.10058899999002 40.08773200030331, -83.09967599994596 40.08610499976463, -83.09868500008406 40.08626999989893, -83.09206399962181 40.08528299998461, -83.0918999995903 40.08847599988047, -83.09480399957894 40.08865000006037, -83.09541500039754 40.0903410000145, -83.09922099966128 40.09147199969838, -83.10229500042756 40.09130400005154, -83.10473300026089 40.09233299997006, -83.10550200036491 40.09417299993871, -83.10583299990269 40.09430399995249, -83.10788599977157 40.09435000029097, -83.1078880003197 40.09432099985712, -83.10792799960436 40.09432099985712, -83.10811000007755 40.09432099985712, -83.10826099969027 40.0928180002894, -83.1082900000026 40.09271599991976))","Block Group 3, Census Tract 63.71, Franklin County, Ohio",1924,1298,448,0,107,0,855,1924,0.6746361746361746,0.23284823284823286,0.0,0.055613305613305616,0.0,0.44438669438669437
39,049,008350,1,"POLYGON ((-83.12005200044537 39.92347399975863, -83.11858799985717 39.92209300013195, -83.11198400001169 39.91602599975813, -83.11154100032088 39.91601999998954, -83.11101599971602 39.91601200006766, -83.11320900022528 39.91796299976309, -83.11098899995184 39.91977099985395, -83.10694099994043 39.920459999851, -83.10200199962628 39.9200520001589, -83.09930900042315 39.92266299965601, -83.09905099978198 39.92543100005178, -83.09610900015848 39.92636499995798, -83.09372800022658 39.92609099992104, -83.09370200028729 39.92606900009682, -83.09368700021869 39.92604999971056, -83.09267000041754 39.92481400020336, -83.09110799992006 39.92562500031661, -83.09049799982469 39.92686000007551, -83.09043199970245 39.92757300023496, -83.09726200040208 39.92874899993247, -83.09771199976555 39.92883200008511, -83.09939200026382 39.92936399968627, -83.10011299978896 39.92964099968829, -83.10248500039836 39.93011600006682, -83.10309799996845 39.9302439998951, -83.10572800032072 39.93084199996857, -83.10839399975968 39.93143300033721, -83.10869199968552 39.93176400022364, -83.1097689997611 39.93320599975701, -83.11033500037387 39.93455300018567, -83.11116300002911 39.93492300027843, -83.11415700042944 39.93546899991509, -83.11528999968323 39.93346099985044, -83.11568499969344 39.93222199996352, -83.11601100010667 39.93099600025204, -83.11638699985031 39.92995499972771, -83.11671900011133 39.92900400009766, -83.11681100017283 39.92831399972753, -83.11689400001353 39.92713300022063, -83.11692800034869 39.92701100027015, -83.1174699997737 39.92581200015454, -83.12005200044537 39.92347399975863))","Block Group 1, Census Tract 83.50, Franklin County, Ohio",2859,1567,762,0,9,0,1268,2859,0.5480937390696048,0.26652675760755506,0.0,0.0031479538300104933,0.0,0.4435117173837006
39,041,011430,1,"POLYGON ((-83.09975899978662 40.14282199995371, -83.09990399955157 40.13954699988053, -83.08977800012447 40.13921199990823, -83.08939599963473 40.13920100032186, -83.08902599973888 40.14610499985682, -83.08898899992896 40.1468400001748, -83.08896299998969 40.14738600012831, -83.0888859999968 40.14892100013741, -83.08858499969791 40.15469799990542, -83.08849000016168 40.15654800016995, -83.08848299959067 40.15669600029326, -83.0884009995749 40.15841299990563, -83.08955999966626 40.15844899984862, -83.0993760003703 40.1587580001765, -83.09947900030245 40.1585700000512, -83.09782399991855 40.15649099979986, -83.0979899995999 40.14714899976693, -83.09673099994943 40.14425000028162, -83.0970039997609 40.14421799967015, -83.09975899978662 40.14282199995371))","Block Group 1, Census Tract 114.30, Delaware County, Ohio",1263,1158,83,0,22,0,707,1263,0.9168646080760094,0.06571654790182106,0.0,0.01741884402216944,0.0,0.5597783056215361
