geometry,start_time,search_time,add_service_time,add_census_time
POINT (-89.51330908165728 43.06868865528243),0:0:00,0.004898839717288669,0.003037691116333008,0.0039484500885009766
POINT (-89.51615283285348 43.07799208329321),0:0:00,0.005039506678958591,0.003027200698852539,0.003177642822265625
POINT (-89.4958165181658 43.04963947768024),0:0:00,0.0048113400987583954,0.003004789352416992,0.003142833709716797
POINT (-89.4861513782882 43.03550403242291),0:0:00,0.0049279267839390595,0.0030765533447265625,0.0032281875610351562
POINT (-89.49265188822787 43.07152382047979),0:0:00,0.005033784633060153,0.0030105113983154297,0.0032541751861572266
POINT (-89.48450582183519 43.04296281324995),0:0:00,0.0050385530046421845,0.0030236244201660156,0.003264904022216797
POINT (-89.47790438338659 43.02926888194253),0:0:00,0.005913549189944919,0.0030164718627929688,0.003440380096435547
POINT (-89.4834230261924 43.11258505980098),0:0:00,0.005415492778201755,0.0030295848846435547,0.003434896469116211
POINT (-89.47446996034297 43.02206955615732),0:0:00,0.005049281840701755,0.003003835678100586,0.0034074783325195312
POINT (-89.47374703176148 43.06824701270198),0:0:00,0.004978948359866794,0.002997875213623047,0.0034055709838867188
POINT (-89.47094712070655 43.0787226250451),0:0:00,0.005173259501834567,0.0034055709838867188,0.0035295486450195312
POINT (-89.45853196903435 43.18852870343173),0:0:00,0.005003743892093356,0.003611326217651367,0.0034821033477783203
POINT (-89.45199737327806 43.03286077233714),0:0:00,0.004932695155521091,0.003386259078979492,0.0037071704864501953
POINT (-89.44313359555562 43.04811581439441),0:0:00,0.0048037107042271454,0.0047338008880615234,0.003603696823120117
POINT (-89.41570145123168 43.071322244409),0:0:00,0.004655414348025974,0.0032434463500976562,0.0035905838012695312
POINT (-89.45527285873865 42.97198616669377),0:0:00,0.005037360911746677,0.003040313720703125,0.003679513931274414
POINT (-89.4140615303895 43.06406733717242),0:0:00,0.004921489482303317,0.0034284591674804688,0.0037992000579833984
POINT (-89.39723842706803 43.07265198761088),0:0:00,0.004834466700931247,0.0030477046966552734,0.0036835670471191406
POINT (-89.39280610212811 43.07026690587534),0:0:00,0.0047960813096958954,0.003283262252807617,0.003782510757446289
POINT (-89.38807029856463 43.14388018776646),0:0:00,0.005792432551761325,0.003021240234375,0.003760099411010742
POINT (-89.37205465322558 43.0903640705622),0:0:00,0.004988723521609958,0.003068685531616211,0.00398564338684082
POINT (-89.37706607639853 43.12997747612987),0:0:00,0.004649930720706638,0.0030863285064697266,0.003962516784667969
POINT (-89.36928029912872 43.13700711866568),0:0:00,0.005272441630740817,0.0030913352966308594,0.0039560794830322266
POINT (-89.36395060783273 42.94745256909438),0:0:00,0.005150609736819919,0.003019094467163086,0.004055976867675781
POINT (-89.31638416081586 43.07941245406553),0:0:00,0.005070024257083591,0.003125429153442383,0.004015207290649414
POINT (-89.31755133101812 43.06634214220748),0:0:00,0.0049143369249302704,0.0032205581665039062,0.004239320755004883
POINT (-89.34342794868026 42.98044946293675),0:0:00,0.004884296183963474,0.003010272979736328,0.0040361881256103516
POINT (-89.30207723044595 43.09538483045413),0:0:00,0.0049470002702671845,0.003149747848510742,0.0039675235748291016
POINT (-89.3029276335466 43.07753970022729),0:0:00,0.0047083432725865204,0.0030426979064941406,0.004090070724487305
POINT (-89.30260311033366 43.03772574635236),0:0:00,0.005020671611209567,0.003161191940307617,0.004013776779174805
POINT (-89.29170872745311 43.09550345523492),0:0:00,0.004905992274661716,0.003122091293334961,0.004311323165893555
POINT (-89.27631817521791 43.03424351388553),0:0:00,0.004928642039676364,0.0030765533447265625,0.004179716110229492
POINT (-89.22098783902541 43.17859480705086),0:0:00,0.004916959529300388,0.0030999183654785156,0.004216670989990234
POINT (-89.17432880754077 43.01449749905332),0:0:00,0.005101018672366794,0.0030841827392578125,0.00426793098449707
POINT (-89.57941490548063 42.90825885798252),0:0:00,0.005124622111697849,0.0030596256256103516,0.0041961669921875
POINT (-89.50354608049477 43.01878905967073),0:0:00,0.005435758357425388,0.003091573715209961,0.004375457763671875
